iter	Logloss	Accuracy
87	0.1260503482	0.963608621
88	0.1258355981	0.9636467671
89	0.1255637577	0.9636467671
90	0.1254422723	0.9637612054
91	0.1250226509	0.9641426664
92	0.1249792489	0.9642571047
93	0.1244922263	0.964371543
94	0.1242897163	0.9642952508
95	0.1236230683	0.9644478352
96	0.1234624599	0.9645241274
97	0.1232954596	0.9644096891
98	0.123029353	0.9646767118
99	0.122963269	0.9646385657
100	0.1226510086	0.9647148579
101	0.1223946336	0.9646767118
102	0.1219208472	0.9649055884
103	0.1215956227	0.9649818806
104	0.1214838089	0.9650963189
105	0.121395353	0.9650963189
106	0.1207922478	0.965515926
107	0.1204692351	0.9653633416
108	0.120072252	0.9654014877
109	0.1195473215	0.9652489033
110	0.1193867632	0.9654014877
111	0.1191545205	0.9652870494
112	0.1187546458	0.9653633416
113	0.1186836002	0.9654396338
114	0.1183063038	0.9654777799
115	0.1181624045	0.9656303643
116	0.1178539296	0.9657829487
117	0.1177685875	0.9658592409
118	0.1174969247	0.9659736792
119	0.1170237845	0.9660118253
120	0.1168429987	0.9662407019
121	0.1165110265	0.9662025558
122	0.1160860044	0.9661262636
123	0.1159368223	0.9662025558
124	0.1157183761	0.9662407019
125	0.1154521935	0.9662407019
126	0.115370318	0.9663551402
127	0.1150263136	0.9665840168
128	0.114904744	0.9665840168
129	0.1146879581	0.9665840168
130	0.1144190313	0.9667366012
131	0.1140988293	0.9669654778
132	0.1137402047	0.9671943544
133	0.1134472227	0.9671943544
134	0.1132628082	0.9672325005
135	0.1131013846	0.967423231
136	0.1128882944	0.9673850849
137	0.1124984519	0.9674995232
138	0.1121153847	0.9673087927
139	0.1118404176	0.9675758154
140	0.1114834761	0.9677665459
141	0.1113283479	0.9677665459
142	0.1110851671	0.9678428381
143	0.1110847182	0.9678428381
144	0.1108858996	0.9679954225
145	0.1106197793	0.9679572764
146	0.1104372687	0.9679954225
147	0.1099741715	0.9680335686
148	0.1098135613	0.9678809842
149	0.1095778502	0.9681098608
150	0.1093400946	0.968186153
151	0.1091965191	0.9682624452
152	0.1089271078	0.9684150296
153	0.1087439152	0.9684150296
154	0.108558145	0.968567614
155	0.1081896971	0.968949075
156	0.1078031182	0.9688346367
157	0.1071676939	0.9687201984
158	0.1071169837	0.9687201984
159	0.1068416675	0.9687583445
160	0.1067431105	0.9686057601
161	0.1066154992	0.9686439062
162	0.106468309	0.9688346367
163	0.1061945733	0.9688346367
164	0.1057499482	0.9689109289
165	0.1050007046	0.9689109289
166	0.1047351705	0.9690635133
167	0.1045251734	0.9690635133
168	0.1042398142	0.9691398055
169	0.1040985175	0.9691398055
170	0.1039768798	0.9692542438
171	0.1038126562	0.9693686821
172	0.1037246422	0.9695594126
173	0.103420325	0.9694831204
174	0.1032522938	0.969330536
175	0.1030514332	0.9694068282
176	0.1028299136	0.9694449743
177	0.1027618837	0.9694449743
178	0.1025962906	0.9695594126
179	0.102400482	0.969750143
180	0.10198865	0.969750143
