iter	Passed	Remaining
399	48385	72577
400	48515	72470
401	48613	72315
402	48745	72211
403	48949	72212
404	49063	72080
405	49168	71936
406	49285	71808
407	49381	71651
408	49485	71505
409	49589	71360
410	49680	71196
411	49793	71064
412	49886	70904
413	49997	70770
414	50115	70644
415	50288	70597
416	50401	70465
417	50519	70340
418	50617	70187
419	50750	70083
420	50883	69980
421	50987	69836
422	51112	69720
423	51270	69650
424	51388	69525
425	51497	69388
426	51634	69289
427	51780	69201
428	51931	69120
429	52035	68977
430	52116	68803
431	52251	68700
432	52395	68609
433	52480	68441
434	52644	68377
435	52737	68219
436	52848	68086
437	53022	68033
438	53132	67897
439	53265	67792
440	53412	67703
441	53518	67564
442	53627	67427
443	53739	67294
444	53852	67164
445	53960	67027
446	54062	66882
447	54230	66819
448	54312	66651
449	54459	66561
450	54561	66417
451	54689	66305
452	54860	66243
453	55035	66187
454	55148	66057
455	55293	65963
456	55395	65820
457	55487	65664
458	55614	65550
459	55731	65423
460	55862	65314
461	55998	65210
462	56112	65080
463	56228	64953
464	56343	64824
465	56461	64700
466	56559	64552
467	56689	64441
468	56775	64280
469	56939	64208
470	57052	64077
471	57185	63969
472	57304	63847
473	57398	63695
474	57497	63549
475	57604	63412
476	57741	63309
477	57909	63239
478	58066	63158
479	58197	63047
480	58300	62906
481	58433	62797
482	58508	62626
483	58628	62504
484	58714	62346
485	58831	62220
486	58931	62077
487	59022	61925
488	59162	61823
489	59254	61673
490	59390	61567
491	59491	61425
492	59621	61314
493	59690	61140
494	59787	60995
495	59881	60847
496	60018	60742
497	60137	60620
498	60263	60504
499	60353	60353
500	60469	60228
501	60582	60100
502	60715	59991
503	60849	59883
504	60960	59753
505	61060	59611
506	61192	59502
507	61277	59347
508	61385	59214
509	61494	59082
510	61597	58945
511	61781	58885
512	61884	58748
513	61998	58620
514	62126	58507
515	62242	58382
516	62333	58234
517	62494	58150
518	62613	58029
519	62680	57859
520	62778	57717
521	62909	57607
522	63055	57509
523	63174	57387
524	63321	57290
525	63428	57157
526	63539	57029
527	63736	56976
528	63880	56876
529	63976	56734
530	64178	56685
531	64291	56557
532	64401	56426
533	64506	56292
534	64623	56168
535	64745	56048
536	64847	55911
537	64972	55794
538	65074	55657
539	65198	55539
540	65294	55397
541	65414	55276
542	65569	55185
543	65691	55064
544	65808	54941
545	65922	54814
546	66055	54704
547	66171	54579
548	66272	54442
549	66390	54319
550	66509	54197
551	66633	54079
552	66769	53971
553	66892	53852
554	66998	53719
555	67142	53617
556	67242	53480
557	67375	53368
558	67468	53226
559	67552	53077
560	67664	52949
561	67757	52807
562	67875	52684
563	67968	52542
564	68086	52420
565	68201	52295
566	68355	52200
567	68468	52074
568	68582	51948
569	68724	51844
570	68843	51722
571	68950	51592
572	68999	51418
573	69102	51285
574	69220	51162
575	69331	51035
576	69397	50875
577	69489	50734
578	69600	50607
579	69738	50500
580	69830	50359
581	69942	50233
582	70035	50094
583	70132	49957
584	70182	49787
585	70294	49661
586	70359	49503
587	70465	49373
588	70548	49228
589	70631	49083
590	70725	48945
591	70822	48810
592	70919	48675
593	70976	48512
594	71052	48363
595	71209	48269
596	71333	48152
597	71456	48035
598	71521	47879
599	71585	47723
600	71703	47603
601	71802	47470
602	71880	47324
603	71940	47166
604	72062	47049
605	72175	46926
606	72229	46764
607	72275	46598
608	72352	46452
609	72496	46350
610	72538	46182
611	72605	46031
612	72740	45922
613	72849	45797
614	72889	45630
615	72993	45502
616	73090	45370
617	73164	45224
618	73343	45143
619	73408	44992
620	73460	44833
621	73508	44672
622	73643	44564
623	73799	44468
624	73900	44340
625	73990	44205
626	74129	44099
627	74230	43971
628	74367	43863
629	74492	43749
630	74618	43635
631	74757	43529
632	74869	43407
633	74995	43293
634	75105	43170
635	75252	43069
636	75339	42932
637	75466	42819
638	75581	42699
639	75739	42603
640	75870	42492
641	75983	42370
642	76105	42254
643	76255	42153
644	76382	42039
645	76491	41916
646	76696	41844
647	76824	41731
648	77012	41650
649	77146	41540
650	77296	41438
651	77398	41310
652	77509	41187
653	77640	41075
654	77733	40943
655	77881	40840
656	78010	40726
657	78134	40610
658	78325	40529
659	78470	40424
660	78601	40311
661	78710	40187
662	78827	40067
663	78952	39951
664	79035	39814
665	79162	39699
666	79270	39576
667	79376	39450
668	79463	39315
669	79575	39194
670	79663	39060
671	79783	38941
672	79916	38830
673	80014	38701
674	80129	38580
675	80258	38466
676	80377	38348
677	80478	38221
678	80595	38101
679	80704	37978
680	80865	37879
681	80962	37750
682	81063	37623
683	81178	37503
684	81293	37383
685	81405	37261
686	81539	37149
687	81634	37020
688	81759	36904
689	81876	36785
690	82056	36693
691	82179	36576
692	82287	36453
693	82427	36344
694	82590	36244
695	82706	36124
696	82857	36019
697	82988	35905
698	83089	35779
699	83201	35657
700	83321	35539
701	83387	35398
702	83515	35283
703	83579	35141
704	83695	35021
705	83739	34871
706	83835	34743
707	83976	34634
708	84089	34513
709	84192	34388
710	84281	34257
711	84384	34132
712	84485	34007
713	84571	33875
714	84673	33750
715	84787	33630
716	84917	33517
717	85058	33407
718	85117	33265
719	85175	33123
720	85267	32995
721	85413	32887
722	85567	32783
723	85704	32671
724	85826	32554
725	85960	32442
726	86088	32327
727	86257	32228
728	86405	32120
729	86573	32020
730	86744	31921
731	86890	31812
732	87030	31701
733	87134	31577
734	87218	31446
735	87315	31319
736	87415	31194
737	87481	31056
738	87616	30944
739	87706	30815
740	87816	30694
741	87897	30562
742	87992	30436
743	88119	30320
744	88251	30206
745	88339	30078
746	88426	29949
747	88564	29837
748	88643	29705
749	88788	29596
750	88896	29474
751	89021	29358
752	89132	29237
753	89231	29112
754	89311	28981
755	89426	28862
756	89539	28742
757	89658	28624
758	89767	28503
759	89870	28380
760	89971	28256
761	90073	28133
762	90183	28012
763	90332	27903
764	90401	27770
