iter	Logloss	Accuracy
0	0.6336451572	0.9426282663
1	0.5801549609	0.9426282663
2	0.5348922835	0.9426282663
3	0.4959777123	0.9426282663
4	0.4615318925	0.9426282663
5	0.4304568011	0.9426282663
6	0.4044219867	0.9426282663
7	0.3817413694	0.9426282663
8	0.3613340157	0.9426282663
9	0.3437029047	0.9426282663
10	0.3287290406	0.9426282663
11	0.3149303884	0.9426282663
12	0.3025526371	0.9426282663
13	0.2903789025	0.9426282663
14	0.2799448003	0.9426282663
15	0.2706062362	0.9426282663
16	0.2616927877	0.9426282663
17	0.2563904016	0.9426282663
18	0.2490576386	0.9426282663
19	0.2413861797	0.9426282663
20	0.2346352448	0.9426282663
21	0.2284107398	0.9426282663
22	0.223116395	0.9426282663
23	0.2177874154	0.9426282663
24	0.212845861	0.9426282663
25	0.2084538706	0.9426282663
26	0.2045110551	0.9426282663
27	0.2006724448	0.9426282663
28	0.1973375734	0.9426282663
29	0.1942951057	0.9426282663
30	0.1919961365	0.9426282663
31	0.1898393405	0.9426282663
32	0.1876934212	0.9426664124
33	0.1859168553	0.9427045585
34	0.1842388949	0.9427808507
35	0.1828789982	0.9429334351
36	0.1818601858	0.9430478734
37	0.1805926144	0.9436200648
38	0.1795242011	0.9443448407
39	0.1784900496	0.9448788861
40	0.1775477921	0.9450314705
41	0.1768377865	0.9457181003
42	0.1760411564	0.9460614152
43	0.1753364335	0.9462521457
44	0.1745468119	0.9462521457
45	0.1736522468	0.9462902918
46	0.1728143545	0.9464428762
47	0.1722333686	0.9462521457
48	0.1714728619	0.9461377074
49	0.1708118573	0.9462521457
50	0.1701530768	0.9462902918
51	0.1695633675	0.9465191684
52	0.1687564945	0.9467098989
53	0.1680004177	0.9467098989
54	0.1672938709	0.9468624833
55	0.1666124644	0.9469006294
56	0.1660395824	0.9473583826
57	0.16555228	0.9475872592
58	0.1651503322	0.9481213046
59	0.1647079042	0.9485027656
60	0.1642173567	0.9488079344
61	0.1638755963	0.9488460805
62	0.1635171473	0.9488842266
63	0.163066307	0.9491893954
64	0.1626851485	0.9492275415
65	0.1624646578	0.949418272
66	0.1621014001	0.9493801259
67	0.1619273674	0.9493801259
68	0.1616277538	0.9496471486
69	0.1611937651	0.9498378791
70	0.1609362916	0.9498760252
71	0.1607411186	0.9499141713
72	0.1605851352	0.9499141713
73	0.1604433043	0.9499141713
74	0.160230311	0.950181194
75	0.1600379509	0.9502956323
76	0.1599297258	0.9502574862
77	0.1597372981	0.9502574862
78	0.1594852677	0.9504100706
79	0.159334497	0.9504482167
80	0.159202107	0.9504100706
81	0.1590355747	0.9505245089
82	0.1588480981	0.9503719245
83	0.1586574206	0.9504482167
84	0.1585661461	0.9505245089
85	0.1584219219	0.9506008011
86	0.1582126121	0.9506389472
87	0.1580835042	0.9506770933
88	0.1579937253	0.9506770933
89	0.157813379	0.9507533855
90	0.1576837064	0.9508678238
91	0.1575995464	0.950944116
92	0.1575103338	0.9510967004
93	0.1572901868	0.9510967004
94	0.1570612043	0.9512874309
95	0.1569655044	0.951325577
96	0.1566869916	0.9515163075
97	0.1565463878	0.9515925997
98	0.1564366569	0.9516307458
99	0.1562079168	0.9518596224
100	0.1561575479	0.9518977685
101	0.1559639812	0.9519740607
102	0.1558924731	0.9519740607
103	0.1556669827	0.9518596224
104	0.1555324334	0.9517833302
105	0.1553612183	0.9517451841
106	0.1552588278	0.9518977685
107	0.1551847732	0.9518214763
108	0.1551490628	0.9518214763
109	0.1550987049	0.9518977685
110	0.15499044	0.9518596224
111	0.1548695391	0.9517833302
112	0.1547641836	0.9518977685
113	0.1546886052	0.9519740607
114	0.1546233732	0.952088499
115	0.1544951699	0.9520122068
116	0.1543828461	0.9522792294
117	0.1543766974	0.9522792294
118	0.1543131991	0.9523173755
119	0.154258796	0.9523555216
120	0.1541858773	0.9523555216
121	0.1541172325	0.9523936677
122	0.1540116328	0.9524318138
123	0.1539792906	0.9523936677
124	0.1537881536	0.9524318138
125	0.1536131052	0.9523936677
126	0.1535210078	0.9523555216
127	0.153335132	0.9524699599
128	0.1532219606	0.9524318138
129	0.1531670856	0.9524318138
130	0.153093628	0.9525843982
131	0.1530936258	0.9525843982
132	0.1530497196	0.9526225443
133	0.1529705262	0.9525843982
134	0.1528415936	0.9526988365
135	0.1528044541	0.9526988365
136	0.1527025232	0.9526606904
137	0.1526372865	0.9526606904
138	0.1525774398	0.9527369826
139	0.1525216839	0.9528514209
140	0.1524153285	0.9530421514
141	0.152248205	0.9530802975
142	0.152103982	0.9531565897
143	0.1520263918	0.9531565897
144	0.151966511	0.9534617585
145	0.1519252117	0.953271028
146	0.151805529	0.953271028
147	0.1517510482	0.9533091741
148	0.1517088672	0.9533091741
149	0.1516419754	0.9533091741
150	0.1515636112	0.9532328819
151	0.1515042023	0.9532328819
152	0.1514241246	0.9532328819
153	0.1513500394	0.9534236124
154	0.1513216288	0.9534236124
155	0.1512617081	0.9534999046
156	0.1511742505	0.9534999046
157	0.1511540853	0.9534617585
158	0.1511101732	0.9534999046
159	0.1510613668	0.9535380507
160	0.15099243	0.9535380507
161	0.1509810879	0.9535380507
162	0.1509666205	0.9535380507
163	0.15089166	0.9536143429
164	0.1508567762	0.9536906351
165	0.1508324998	0.9537287812
166	0.1507459412	0.9537287812
167	0.1506979433	0.9537669273
168	0.1506623185	0.953652489
169	0.1506062583	0.953652489
170	0.1505088849	0.9537669273
171	0.1504832581	0.9537669273
172	0.1504444809	0.9538432195
173	0.1503763864	0.9539576578
174	0.1503389847	0.95403395
175	0.1502710591	0.9541483883
176	0.1502515757	0.9541865344
177	0.1502238481	0.9541865344
178	0.1501817254	0.9542628266
179	0.150125008	0.9543009727
180	0.1500697531	0.9543009727
181	0.1500315505	0.954415411
182	0.149972952	0.9543772649
183	0.1499217846	0.9544535571
184	0.1498830648	0.9544535571
185	0.1498155419	0.9544917032
186	0.149774327	0.9544535571
187	0.1496957018	0.954415411
188	0.1495907816	0.9543772649
189	0.1495144812	0.9545679954
190	0.1494917117	0.9546061415
191	0.1494583961	0.9546061415
192	0.1494320329	0.9545679954
193	0.1494065494	0.9546824337
194	0.1493614887	0.9547205798
195	0.1492825793	0.9547587259
196	0.1492315363	0.9546824337
197	0.1491839836	0.9547587259
198	0.1491499651	0.9548350181
199	0.1491133439	0.9548731642
200	0.1491093706	0.9548350181
201	0.1490997906	0.954796872
202	0.1490100728	0.954796872
203	0.1489944596	0.9548731642
204	0.1489001323	0.9549494564
205	0.1488724658	0.9549494564
206	0.1488193679	0.9549494564
207	0.1487614575	0.9550638947
208	0.1487289355	0.9550638947
209	0.148662395	0.9550638947
210	0.1485886755	0.9550638947
211	0.1485556451	0.9550638947
212	0.1484218128	0.9552164791
213	0.1483882851	0.955178333
214	0.1483744972	0.9552164791
215	0.1483562213	0.955178333
216	0.1482393046	0.9549876025
217	0.1481788917	0.9549494564
218	0.1481492737	0.9550638947
219	0.1481196823	0.9550638947
220	0.1481196807	0.9550638947
221	0.1480525391	0.9550638947
222	0.1479124	0.9551401869
223	0.1478622686	0.955178333
224	0.1478504854	0.9552164791
225	0.1477828505	0.9553309174
226	0.1477568255	0.9553309174
227	0.1477161477	0.9553690635
228	0.1476808494	0.9553309174
229	0.1476323926	0.9554072096
230	0.147623832	0.9553690635
231	0.1475515462	0.955559794
232	0.1474185192	0.9554453557
233	0.1473545154	0.9554835018
234	0.1473234625	0.9554453557
235	0.1472580332	0.955559794
236	0.1472289918	0.9556360862
237	0.1471465645	0.9555979401
238	0.1471203302	0.9555216479
239	0.1470495558	0.9555216479
240	0.1470145279	0.9554453557
241	0.1469947568	0.9554453557
242	0.1469459957	0.9556360862
243	0.1468941534	0.9556360862
244	0.1468508917	0.9556360862
245	0.1467542291	0.9555979401
246	0.1466787142	0.9557123784
247	0.1466467026	0.9557123784
248	0.1466268169	0.9557123784
249	0.1466268086	0.9557123784
250	0.146534889	0.9558649628
251	0.1464924854	0.9558649628
252	0.1464621143	0.9558649628
253	0.1464411089	0.9559031089
254	0.1464008776	0.9559031089
255	0.146347295	0.955941255
256	0.1463229354	0.955941255
257	0.146299198	0.955941255
258	0.146189291	0.9561319855
259	0.146139549	0.9560938394
260	0.1460870586	0.9561701316
261	0.1460249968	0.9561319855
262	0.1459278907	0.9560938394
263	0.1458720846	0.9560938394
264	0.1458601343	0.9560556933
265	0.1458303543	0.9560938394
266	0.145771142	0.9562845699
267	0.1457074631	0.9562082777
268	0.1456876018	0.9561701316
269	0.1456179417	0.9562082777
270	0.1455540535	0.9562845699
271	0.1454985769	0.956322716
272	0.1454781332	0.9564371543
273	0.1454574734	0.9564753004
274	0.1454355606	0.9564753004
275	0.1454060745	0.9564753004
