iter	Passed	Remaining
0	57	57686
1	253	126622
2	382	127098
3	433	107986
4	478	95308
5	575	95295
6	616	87424
7	645	80089
8	698	76890
9	799	79183
10	837	75318
11	868	71499
12	924	70162
13	1014	71480
14	1166	76598
15	1233	75847
16	1371	79326
17	1419	77425
18	1542	79655
19	1702	83412
20	1874	87399
21	2024	90003
22	2122	90144
23	2293	93251
24	2433	94924
25	2570	96293
26	2719	98004
27	2784	96660
28	2944	98574
29	3042	98381
30	3187	99629
31	3318	100392
32	3437	100735
33	3571	101463
34	3648	100591
35	3740	100162
36	3780	98385
37	3840	97232
38	3895	95988
39	3946	94716
40	4025	94157
41	4093	93379
42	4141	92162
43	4187	90991
44	4248	90166
45	4354	90298
46	4419	89608
47	4472	88698
48	4527	87869
49	4573	86891
50	4647	86474
51	4741	86443
52	4817	86075
53	4902	85889
54	4960	85225
55	5101	86001
56	5227	86482
57	5293	85980
58	5355	85409
59	5425	85001
60	5510	84830
61	5578	84398
62	5758	85639
63	5871	85866
64	5964	85793
65	6080	86041
66	6242	86926
67	6388	87562
68	6494	87631
69	6653	88400
70	6733	88100
71	6832	88066
72	6912	87782
73	7042	88122
74	7122	87848
75	7234	87958
76	7350	88115
77	7506	88733
78	7604	88653
79	7782	89502
80	7936	90044
81	8042	90031
82	8131	89843
83	8271	90194
84	8356	89957
85	8466	89986
86	8552	89753
87	8668	89839
88	8799	90066
89	8894	89933
90	9110	91003
91	9221	91011
92	9359	91285
93	9515	91714
94	9685	92271
95	9830	92566
96	9946	92593
97	10096	92927
98	10292	93672
99	10418	93767
100	10500	93467
101	10647	93743
102	10772	93812
103	10852	93501
104	10965	93466
105	11083	93475
106	11172	93245
107	11312	93429
108	11434	93468
109	11579	93684
110	11723	93891
111	11867	94093
112	12012	94292
113	12164	94542
114	12278	94488
115	12410	94579
116	12497	94318
117	12596	94154
118	12698	94014
119	12807	93920
120	12912	93802
121	13011	93640
122	13114	93507
123	13217	93377
124	13361	93529
125	13474	93463
126	13600	93491
127	13719	93465
128	13869	93643
129	14006	93736
130	14129	93732
131	14174	93209
132	14287	93136
133	14405	93099
134	14508	92962
135	14640	93010
136	14746	92893
137	14857	92807
138	14957	92652
139	15060	92515
140	15190	92541
141	15339	92687
142	15453	92611
143	15555	92471
144	15684	92482
145	15803	92440
146	15918	92372
147	16051	92404
148	16146	92217
149	16275	92228
