iter	Logloss
0	0.6568384825
1	0.6231023309
2	0.5919096315
3	0.5634652065
4	0.5370659893
5	0.5123873226
6	0.4900851776
7	0.4686830536
8	0.4497781669
9	0.4315468762
10	0.4155486664
11	0.4008099397
12	0.386739339
13	0.3741731936
14	0.361936904
15	0.3505369044
16	0.340735814
17	0.3312524255
18	0.3229947651
19	0.3153751635
20	0.3083465631
21	0.3014280812
22	0.2953818427
23	0.2898516972
24	0.2829250958
25	0.2770270342
26	0.2711396599
27	0.2655654651
28	0.2606621648
29	0.2553432036
30	0.2504685577
31	0.2478428022
32	0.2434050352
33	0.2391149426
34	0.2347924243
35	0.2306781581
36	0.2270539828
37	0.2243366999
38	0.2208999528
39	0.2175641346
40	0.2147578452
41	0.2120806265
42	0.2098609701
43	0.2076977871
44	0.2054921278
45	0.2034144888
46	0.2017019015
47	0.2001310435
48	0.1984564018
49	0.1970238239
50	0.1956779614
51	0.1943050571
52	0.1926182761
53	0.1912760633
54	0.1900310815
55	0.1887306234
56	0.1875415086
57	0.1864195003
58	0.1852875469
59	0.184382345
60	0.1833713921
61	0.1825337522
62	0.1817070773
63	0.180992249
64	0.1802658007
65	0.1795226411
66	0.1788595697
67	0.1783057541
68	0.1777215745
69	0.1770329803
70	0.176402303
71	0.1758328647
72	0.1751676211
73	0.1747096913
74	0.1741266268
75	0.1735710218
76	0.1729741472
77	0.1724993619
78	0.1717444281
79	0.1711088978
80	0.1704517296
81	0.1698707744
82	0.1694276145
83	0.1690241701
84	0.16849113
85	0.1680657288
86	0.1676192031
87	0.1671575225
88	0.1668172159
89	0.1664658454
90	0.1660610395
91	0.1657231742
92	0.1653545988
93	0.1651043423
94	0.1648518035
95	0.1646115634
96	0.164387399
97	0.1641606714
98	0.1639383568
99	0.1636491961
100	0.163525091
101	0.1632201708
102	0.1630110554
103	0.1628039458
104	0.1625656961
105	0.1623627657
106	0.1621481087
107	0.1618613784
108	0.1616553683
109	0.1614569027
110	0.1612222362
111	0.1610118937
112	0.1609025227
113	0.1607558816
114	0.160541055
115	0.1603692461
116	0.1602003834
117	0.1600580115
118	0.1599668852
119	0.1598255138
120	0.1596632464
121	0.1595926971
122	0.1594411938
123	0.1592710857
124	0.1591018114
125	0.1589757713
126	0.1588238617
127	0.1587333136
128	0.1586206869
129	0.1584709414
130	0.1583116635
131	0.1582085513
132	0.1581379022
133	0.1579563534
134	0.1578371021
135	0.1577450347
136	0.1576484583
137	0.1575323267
138	0.1574348691
139	0.1573074757
140	0.1572054014
141	0.1570576742
142	0.1569393627
143	0.1568566791
144	0.1567982072
145	0.1566923742
146	0.1565741896
147	0.1565169924
148	0.1564370991
149	0.1563833756
150	0.1563296709
151	0.1562904247
152	0.1561834708
